month,username,message,faction
1998-1-1,0.01,-2.00%,0
1998-2-1,0.07,8.20%,0
1998-3-1,0.05,4.40%,0
1998-4-1,0.009,1.70%,0
1998-5-1,-0.019,-4.60%,0
1998-6-1,0.039,0.50%,0
1998-7-1,-0.012,-4.00%,0
1998-8-1,-0.146,-18.70%,0
1998-9-1,0.062,9.20%,0
1998-10-1,0.08,8.80%,0
1998-11-1,0.059,4.90%,0
1998-12-1,0.056,12.00%,0
1999-1-1,0.041,-4.00%,0
1999-2-1,-0.032,-5.40%,0
1999-3-1,0.039,2.70%,0
1999-4-1,0.038,7.80%,0
1999-5-1,-0.025,0.30%,0
1999-6-1,0.054,5.30%,0
1999-7-1,-0.032,-2.20%,0
1999-8-1,-0.006,-3.50%,0
1999-9-1,-0.029,-3.20%,0
1999-10-1,0.063,5.00%,0
1999-11-1,0.019,5.10%,0
1999-12-1,0.058,5.80%,0
2000-1-1,-0.051,-2.90%,0
2000-2-1,-0.02,6.90%,0
2000-3-1,0.097,8.30%,1
2000-4-1,-0.031,-3.60%,1
2000-5-1,-0.022,-1.40%,1
2000-6-1,0.024,1.40%,1
2000-7-1,-0.016,1.50%,1
2000-8-1,0.061,11.00%,1
2000-9-1,-0.053,-0.80%,1
2000-10-1,-0.005,-3.50%,1
2000-11-1,-0.08,-7.60%,1
2000-12-1,0.004,7.60%,1
2014-1-1,0.035,2.20%,1
2014-2-1,-0.092,-5.80%,1
2014-3-1,-0.064,-7.50%,1
2014-4-1,0.077,11.00%,1
2014-5-1,0.005,2.20%,1
2014-6-1,-0.025,-0.50%,1
2014-7-1,-0.011,-1.60%,1
2014-8-1,-0.064,-3.40%,0
2014-9-1,-0.082,-12.50%,0
2014-10-1,0.018,4.30%,0
2014-11-1,0.075,7.30%,0
2014-12-1,0.008,5.10%,0
2014-1-2,-0.016,-0.60%,0
2014-2-2,-0.021,0.00%,0
2014-3-2,0.037,7.10%,0
2014-4-2,-0.061,-0.50%,0
2014-5-2,-0.009,-1.80%,0
2014-6-2,-0.072,-7.40%,0
2014-7-2,-0.079,-9.80%,0
2014-8-2,0.005,0.40%,0
2014-9-2,-0.11,-12.30%,0
2014-10-2,0.086,9.10%,0
2014-11-2,0.057,5.70%,0
2014-12-2,-0.06,-4.20%,0
2014-1-3,-0.027,-3.00%,0
2014-2-3,-0.017,-2.50%,0
2014-3-3,0.008,0.70%,0
2014-4-3,0.081,7.20%,0
2014-5-3,0.051,8.10%,0
2014-6-3,0.011,1.20%,0
2014-7-3,0.016,3.50%,0
2014-8-3,0.018,4.40%,0
2014-9-3,-0.012,-1.60%,0
2014-10-3,0.052,7.50%,0
2014-11-3,0.01,3.40%,0
2014-12-3,0.051,1.60%,0
2014-1-4,0.017,2.10%,0
2014-2-4,0.012,2.30%,0
2014-3-4,-0.016,0.30%,0
2014-4-4,-0.017,-3.40%,0
2014-5-4,0.012,2.00%,0
2014-6-4,0.018,2.20%,0
2014-7-4,-0.034,-4.70%,0
2014-8-4,0.002,-0.40%,0
2014-9-4,0.009,2.90%,0
2014-10-4,0.014,1.50%,0
2014-11-4,0.039,5.80%,0
2014-12-4,0.032,4.10%,0
2014-1-5,-0.025,-2.60%,0
2014-2-5,0.019,3.20%,0
2014-3-5,-0.019,-1.20%,0
2014-4-5,-0.02,-5.30%,0
2014-5-5,0.03,7.50%,0
2014-6-5,0,2.20%,0
2014-7-5,0.036,5.20%,0
2014-8-5,-0.01,-1.20%,0
2014-9-5,0.006,0.70%,0
2014-10-5,-0.018,-2.20%,0
2014-11-5,0.035,4.80%,0
2014-12-5,-0.001,0.60%,0
2014-1-6,0.025,5.80%,0
2014-2-6,0,-1.00%,0
2014-3-6,0.011,2.40%,0
2014-4-6,0.012,1.30%,0
2014-5-6,-0.031,-4.60%,0
2014-6-6,0,-0.10%,0
2014-7-6,0.005,-3.40%,0
2014-8-6,0.021,1.50%,0
2014-9-6,0.025,0.60%,0
2014-10-6,0.032,4.10%,0
2014-11-6,0.016,3.10%,0
2014-12-6,0.013,-0.60%,0
2014-1-7,0.014,3.60%,0
2014-2-7,-0.022,0.60%,0
2014-3-7,0.01,0.60%,0
2014-4-7,0.043,3.60%,0
2014-5-7,0.033,4.90%,0
2014-6-7,-0.018,-2.30%,0
2014-7-7,-0.032,-4.40%,0
2014-8-7,0.013,0.80%,0
2014-9-7,0.036,2.60%,0
2014-10-7,0.015,2.60%,0
2014-11-7,-0.044,-5.20%,0
2014-12-7,-0.009,-0.30%,0
2014-1-8,-0.061,-6.20%,0
2014-2-8,-0.035,-2.00%,0
2014-3-8,-0.006,-1.10%,0
2014-4-8,0.048,7.60%,0
2014-5-8,0.011,5.10%,0
2014-6-8,-0.086,-7.10%,0
2014-7-8,-0.01,-2.00%,0
2014-8-8,0.012,1.60%,0
2014-9-8,-0.092,-10.80%,0
2014-10-8,-0.168,-21.80%,0
2014-11-8,-0.075,-9.50%,0
2014-12-8,0.008,4.60%,0
2014-1-9,-0.086,-7.40%,0
2014-2-9,-0.11,-9.90%,0
2014-3-9,0.085,8.80%,0
2014-4-9,0.094,14.80%,0
2014-5-9,0.053,2.60%,0
2014-6-9,0,-0.40%,0
2014-7-9,0.074,9.60%,0
2014-8-9,0.034,4.20%,0
2014-9-9,0.036,5.60%,0
2014-10-9,-0.02,-4.60%,0
2014-11-9,0.057,3.90%,0
2014-12-9,0.018,6.10%,0
2014-1-10,-0.037,-3.30%,0
2014-2-10,0.029,5.10%,0
2014-3-10,0.059,7.00%,0
2014-4-10,0.015,4.20%,0
2014-5-10,-0.082,-7.30%,0
2014-6-10,-0.054,-6.70%,3
2014-7-10,0.069,6.80%,3
